"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"From Wikipedia, the free encyclopedia.

Danny Cannon (born 1968, in Luton, England) is a film and television screenwriter, director and producer.

Cannon began making films at the age of 16 in 1984, and started a youth experimental theatre group at 33 Arts Centre. Using the centre's facilities, he was a very prolific director of video dramas and collaborated with a number of other directors in different roles including cameraman. A major influence was the centre's video maker, Dermot Byrne with whom he worked on a number of projects. It was at 33 that he met the future film composer David Arnold who played in a band that rehearsed there. Cannon convinced Arnold that he could compose soundtracks for his and other people's videos. Arnold's first but not the last soundtrack for Byrne was 'The Undead' written by Keith Moyes.

In 1987 Cannon, then a teenager, entered a competition in the British comic 2000 AD to design a poster for a possible future film of Judge Dredd. His work was published in the comic's ""Prog 534"" edition. In his poster, a clearly Blade Runner   inspired Cannon imagined that the director of the film would be Ridley Scott, with Harrison Ford starring in the title role and Daryl Hannah co-starring as ""PSI Anderson"".

By 1987 he was awarded the BBC Young Filmmaker of the Year Award for a 40-minute short called Sometimes. He enrolled at the National Film and Television School in 1988, from which he graduated in 1990.

He wrote and directed Strangers (1990) and The Young Americans (1993), the latter having as its title song, ""Play Dead"", sung by Icelandic diva Bj  rk. Based on his work on the later gangster film, producers signed him to direct the big-budget, but ultimately poorly received film Judge Dredd (1995), starring Sylvester Stallone. Since then he has also directed Phoenix (1998), and I Still Know What You Did Last Summer (1998). Beginning in 2000, he has directed and produced various CSI television series. In 2005 he directed Goal!. Cannon also plays football regularly with Hollywood United F.C. The team mostly features celebrities and former professional footballers. They do however, occasionally play against professional teams for friendly matches and charity events.

He directed a 2006 CBS television pilot, Capital Law, about a group of legal associates trying to make partner at a powerful Washington, D.C.   based law firm. More recently, Cannon co-created TNT's crime drama series starring Dylan McDermott, called Dark Blue. Cannon also directed the pilot episode for Dark Blue.

In 2010, Cannon joined The CW action series Nikita, as director and executive producer.

In 2011, Cannon executive produced and directed the pilot for the FOX crime/mystery Alcatraz.","1968",,2,"Danny Cannon","Luton - England - UK",41.0
"From Wikipedia, the free encyclopedia.  Boaz Yakin (born June 20, 1966 ) is an American screenwriter and film director based in New York City. Yakin studied filmmaking at New York City College and New York University.

He is currently writing the screenplay for Conan the Barbarian.  Description above from the Wikipedia article Boaz Yakin, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-06-20",,2,"Boaz Yakin","New York City",132.0
"From Wikipedia, the free encyclopedia

Richard Marquand (22 September 1937     4 September 1987) was a Welsh film director best known for directing the blockbuster Star Wars film, Star Wars Episode VI: Return of the Jedi (1983).

Description above from the Wikipedia article Richard Marquand, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1937-09-22","1987-09-04",2,"Richard Marquand","Cardiff, Wales, UK",37.0
"From Wikipedia, the free encyclopedia.

Neil Marshall (born 25 May 1970) is an English film director, editor, and screenwriter. Marshall began his career in editing and in 2002 directed his first feature film Dog Soldiers, which became a cult film. He followed up with the critically acclaimed horror film The Descent in 2005. Marshall also directed Doomsday in 2008, and wrote and directed Centurion in 2010.","1970-05-25",,2,"Neil Marshall","Newcastle upon Tyne - England - UK",197.0
"David Benjamin Wain (born August 1, 1969) is an American comedian, writer, actor and director. He is most widely known for the feature films Role Models and Wet Hot American Summer, the 1990s' sketch comedy series The State and for directing the Adult Swim series Childrens Hospital. Wain was a founding member of Stella, along with Michael Showalter and Michael Ian Black.","1969-08-01",,2,"David Wain","Shaker Heights, Ohio, USA",136.0
"From Wikipedia, the free encyclopedia.

Jared Lawrence Hess (born July 18, 1979) is an American filmmaker known for his work Napoleon Dynamite (2004) and Nacho Libre (2006), which he co-wrote and directed with his wife, Jerusha Hess. (Nacho Libre was co-written with Mike White). He also produced the video for The Postal Service's third single, ""We Will Become Silhouettes"" and The Killers' Christmas single, ""Boots"".

Description above from the Wikipedia article Jared Hess, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1979-07-18",,2,"Jared Hess","Preston, Idaho, U.S.",100.0
"From Wikipedia, the free encyclopedia.   

Rupert Wainwright (born 30 November 1963) is an English film and television director, writer, and actor.

Wainwright was born in Cotswolds, UK and started his film career in the 1980s as an actor. While in his twenties, gained some notoriety for a short film called Open Window.

Description above from the Wikipedia article  Rupert Wainwright   licensed under CC-BY-SA, full list of contributors on Wikipedia.","1963-11-30",,2,"Rupert Wainwright","England, UK",9.0
"From Wikipedia, the free encyclopedia.

John Luessenhop is the director of Takers, starring Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, T.I., Chris Brown, and Hayden Christensen.

Also directed Lockdown

Wrote ""TICK...TICK...TICK..."" which premiered at the Sundance Film Festival and won best short subject film at the Florida Film Festival and is currently held by Universal Studios

Description above from the Wikipedia article John Luessenhop, licensed under CC-BY-SA, full list of contributors on Wikipedia",,,2,"John Luessenhop",,34.0
"From Wikipedia, the free encyclopedia

Justin Zackham is the writer and executive producer of ""The Bucket List"" starring Jack Nicholson, Morgan Freeman, Sean Hayes and Rob Morrow. The film, directed by Rob Reiner, was released on Christmas, 2007. The film tells the story of two men (Nicholson and Freeman) who are roommates in a cancer ward where they learn on the same day that they each have only months to live. When Freeman's character was nineteen, he wrote a list of all the things he wanted to do with his life before he ""kicked the bucket."" Nicholson plays a millionaire who adds his own wishes to Morgan's list and the two men are soon skydiving, driving vintage race cars and riding a Harley-Davidson motorcycle along the Great Wall of China.

Description above from the Wikipedia article Justin Zackham, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Justin Zackham",,16.0
"",,,2,"John Gatins",,61.0
"Miguel Sapochnik  is an English  film  and  television director  and former  storyboard artist. He is best known as the director of the feature  Repo Men  and  HBO  series  Game of Thrones, as well as for his work on several other U.S. television series (Awake,  Fringe,  House, Mind Games).","1974",,2,"Miguel Sapochnik","Hammersmith, London, England",238.0
"From Wikipedia, the free encyclopedia.

Don Scardino (born 17 February 1948) is an American television director and producer and a former actor.

Born in New York City, Scardino began his career as an actor. His first Broadway credit was as an understudy in The Playroom in 1965. Additional Broadway acting credits include Johnny No-Trump, Godspell, and King of Hearts. Off-Broadway he appeared in The Rimers of Eldritch, The Comedy of Errors, Moonchildren, and I'm Getting My Act Together and Taking It on the Road, he was also the lead in a cult classic B horror movie titled Squirm in 1976. He served as Artistic Director at Playwrights Horizons from 1991-96. On television he appeared on the daytime soap operas The Guiding Light, All My Children, Love Is a Many Splendored Thing, and Another World and the primetime series The Ghost &amp; Mrs. Muir and The Name of the Game. Feature film credits include Rip-off, Homer, Squirm and Cruising.

Following his acting on the network soap operas, he began to direct them. He directed episodes of Another World, One Life to Live, and All My Children. He went on to direct plays on and off-Broadway, including the world premiere of Aaron Sorkin's A Few Good Men. He has directed extensively in television, most notably NBC's comedy 30 ROCK. Feature film directing work includes Me &amp; Veronica (Venice Film Festival), and Advice From A Caterpillar, winner, best comedy, at Aspen Comedy Festival.

Scardino was married to actress Pamela Blair from 1984 to 1991. He is currently married to painter Dana L. Williams.","1949-02-17",,2,"Don Scardino","New York City - New York - USA",35.0
"Timothy Francis ""Tim"" Robbins (born October 16, 1958) is an American actor, screenwriter, director, producer, activist and musician. He is the former longtime partner of actress Susan Sarandon. He is known for his roles as Nuke in Bull Durham, Andy Dufresne in The Shawshank Redemption, and as Dave Boyle in Mystic River, for which he won an Academy Award for Best Supporting Actor.

Description above from the Wikipedia article Tim Robbins, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1958-10-16",,2,"Tim Robbins","West Covina, California, USA",0.0
"",,,2,"Tom Reeve",,0.0
"From Wikipedia, the free encyclopedia.

Nanette Burstein (born May 23, 1970) is an American film and television director. Burstein has produced, directed, and co-directed many documentaries which have won her many awards and nominations, including an Academy Award nomination for Best Documentary and the Sundance Special Jury Prize for Documentary.

Description above from the Wikipedia article Nanette Burstein, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1970-05-23",,1,"Nanette Burstein","Buffalo, NY",8.0
"From Wikipedia, the free encyclopedia.   

Ariel Vromen is the director of the film Rx. According to Showtime, this is a 2005 film in which ""Three close friends encounter two flamboyant drug dealers while on a weekend road trip. Starring Eric Balfour, Colin Hanks, Lauren German, Alan Tudyk, Ori Pfeffer, Daniel Pino. 1 hr. 29 min. Rated R: Violence, Nudity, Adult Language, Adult Situations. Program Type: Movie/Drama.""

Description above from the Wikipedia article Ariel Vromen, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1973-02-14",,2,"Ariel Vromen","Israel",34.0
"From Wikipedia, the free encyclopedia.   

Lewis Gilbert CBE (born 6 March 1920 in London) is an English film director, producer and screenwriter.

Description above from the Wikipedia article  Lewis Gilbert,    licensed under CC-BY-SA, full list of contributors on Wikipedia.","1920-03-06",,2,"Lewis Gilbert","London, England, UK",43.0
